misdrijf,Regio,2010,2011,2012,2013
Schennis der eerbaarheid,Limburg,195,165,135,135
Schennis der eerbaarheid,niet in te delen,5,10,0,5
Ontucht met minderjarige,Groningen,35,25,45,30
Ontucht met minderjarige,Friesland,45,45,50,60
Ontucht met minderjarige,Drenthe,35,20,25,35
Ontucht met minderjarige,Overijssel,75,45,40,55
Ontucht met minderjarige,Flevoland,10,15,10,20
Ontucht met minderjarige,Gelderland,145,100,140,125
Ontucht met minderjarige,Utrecht,50,40,60,50
Ontucht met minderjarige,Noord-Holland,90,145,125,135
Ontucht met minderjarige,Zuid-Holland,265,210,280,230
Ontucht met minderjarige,Zeeland,5,20,30,20
Ontucht met minderjarige,Noord-Brabant,135,100,150,140
Ontucht met minderjarige,Limburg,65,45,60,55
Ontucht met minderjarige,niet in te delen,45,30,35,30
Pornografie,Groningen,35,25,20,25
Pornografie,Friesland,20,15,25,30
Pornografie,Drenthe,15,15,25,30
Pornografie,Overijssel,20,25,20,25
Pornografie,Flevoland,15,5,20,20
Pornografie,Gelderland,60,65,55,90
Pornografie,Utrecht,70,40,30,35
Pornografie,Noord-Holland,90,60,105,100
Pornografie,Zuid-Holland,110,175,175,180
Pornografie,Zeeland,15,10,20,30
Pornografie,Noord-Brabant,65,75,75,105
Pornografie,Limburg,30,40,50,55
Pornografie,niet in te delen,0,10,5,10
Ontucht met misbruik van gezag,Groningen,25,20,25,25
Ontucht met misbruik van gezag,Friesland,20,20,25,25
Ontucht met misbruik van gezag,Drenthe,10,20,30,20
Ontucht met misbruik van gezag,Overijssel,50,35,25,35
Ontucht met misbruik van gezag,Flevoland,20,20,15,25
Ontucht met misbruik van gezag,Gelderland,55,65,80,95
Ontucht met misbruik van gezag,Utrecht,40,30,35,25
Ontucht met misbruik van gezag,Noord-Holland,60,65,65,60
Ontucht met misbruik van gezag,Zuid-Holland,115,115,115,135
Ontucht met misbruik van gezag,Zeeland,20,15,25,20
Ontucht met misbruik van gezag,Noord-Brabant,80,90,65,60
Ontucht met misbruik van gezag,Limburg,30,30,20,30
Ontucht met misbruik van gezag,niet in te delen,15,25,25,30
Seksueel misdrijf (overig),Groningen,60,65,50,65
Seksueel misdrijf (overig),Friesland,65,45,30,50
Seksueel misdrijf (overig),Drenthe,70,55,45,45
Seksueel misdrijf (overig),Overijssel,100,105,110,65
Seksueel misdrijf (overig),Flevoland,10,10,5,15
Seksueel misdrijf (overig),Gelderland,140,165,140,135
Seksueel misdrijf (overig),Utrecht,110,130,85,65
Seksueel misdrijf (overig),Noord-Holland,140,145,140,105
Seksueel misdrijf (overig),Zuid-Holland,315,370,315,265
Seksueel misdrijf (overig),Zeeland,45,55,50,50
Seksueel misdrijf (overig),Noord-Brabant,235,235,270,255
Seksueel misdrijf (overig),Limburg,65,75,70,55
Seksueel misdrijf (overig),niet in te delen,35,40,30,15
Levensmisdrijf,Groningen,165,160,140,160
Levensmisdrijf,Friesland,120,135,125,115
Levensmisdrijf,Drenthe,120,155,125,115
Levensmisdrijf,Overijssel,210,225,210,210
Levensmisdrijf,Flevoland,90,95,105,85
Levensmisdrijf,Gelderland,340,345,315,310
Levensmisdrijf,Utrecht,210,255,230,200
Levensmisdrijf,Noord-Holland,770,740,690,640
Levensmisdrijf,Zuid-Holland,1050,1055,960,830
Levensmisdrijf,Zeeland,65,80,80,70
Levensmisdrijf,Noord-Brabant,515,560,535,455
Levensmisdrijf,Limburg,300,265,310,275
Levensmisdrijf,niet in te delen,25,25,15,20
Vrijheidsbeneming/gijzeling,Groningen,25,15,20,15
Vrijheidsbeneming/gijzeling,Friesland,10,15,5,10
Vrijheidsbeneming/gijzeling,Drenthe,5,10,25,10
Vrijheidsbeneming/gijzeling,Overijssel,35,25,35,15
Vrijheidsbeneming/gijzeling,Flevoland,25,10,25,15
Vrijheidsbeneming/gijzeling,Gelderland,50,50,35,40
Vrijheidsbeneming/gijzeling,Utrecht,30,40,25,35
Vrijheidsbeneming/gijzeling,Noord-Holland,155,115,110,110
Vrijheidsbeneming/gijzeling,Zuid-Holland,165,165,180,135
Vrijheidsbeneming/gijzeling,Zeeland,15,10,5,10
Vrijheidsbeneming/gijzeling,Noord-Brabant,70,55,70,70
Vrijheidsbeneming/gijzeling,Limburg,50,40,50,30
Vrijheidsbeneming/gijzeling,niet in te delen,15,5,5,5
Mensenhandel, mensensmokkel,Groningen,30,25,45,25
Mensenhandel, mensensmokkel,Friesland,10,15,15,15
Mensenhandel, mensensmokkel,Drenthe,15,10,5,5
Mensenhandel, mensensmokkel,Overijssel,30,25,30,25
Mensenhandel, mensensmokkel,Flevoland,5,10,5,10
Mensenhandel, mensensmokkel,Gelderland,85,60,65,50
Mensenhandel, mensensmokkel,Utrecht,25,25,35,20
Mensenhandel, mensensmokkel,Noord-Holland,125,130,135,100
Mensenhandel, mensensmokkel,Zuid-Holland,110,180,175,130
Mensenhandel, mensensmokkel,Zeeland,10,5,10,15
Mensenhandel, mensensmokkel,Noord-Brabant,95,75,90,75
Mensenhandel, mensensmokkel,Limburg,70,50,75,45
Mensenhandel, mensensmokkel,niet in te delen,85,85,80,60
Geweldsmisdrijf (overig),Groningen,45,45,55,35
Geweldsmisdrijf (overig),Friesland,40,50,45,40
Geweldsmisdrijf (overig),Drenthe,45,50,35,45
Geweldsmisdrijf (overig),Overijssel,55,45,50,60
Geweldsmisdrijf (overig),Flevoland,5,20,25,35
Geweldsmisdrijf (overig),Gelderland,70,100,115,105
Geweldsmisdrijf (overig),Utrecht,55,65,65,70
Geweldsmisdrijf (overig),Noord-Holland,175,205,190,160
Geweldsmisdrijf (overig),Zuid-Holland,260,275,290,250
Geweldsmisdrijf (overig),Zeeland,30,20,15,15
Geweldsmisdrijf (overig),Noord-Brabant,150,140,165,160
Geweldsmisdrijf (overig),Limburg,90,90,105,60
Geweldsmisdrijf (overig),niet in te delen,20,15,10,10
Misdrijven WvSr (overig),Groningen,355,340,310,370
Misdrijven WvSr (overig),Friesland,375,360,405,370
Misdrijven WvSr (overig),Drenthe,255,295,275,265
Misdrijven WvSr (overig),Overijssel,580,680,775,665
Misdrijven WvSr (overig),Flevoland,195,185,225,240
Misdrijven WvSr (overig),Gelderland,1110,1225,1190,1155
Misdrijven WvSr (overig),Utrecht,705,860,1015,910
Misdrijven WvSr (overig),Noord-Holland,2030,2130,2005,1865
Misdrijven WvSr (overig),Zuid-Holland,2800,2960,2955,2945
Misdrijven WvSr (overig),Zeeland,165,200,220,175
Misdrijven WvSr (overig),Noord-Brabant,1430,1615,1635,1545
Misdrijven WvSr (overig),Limburg,585,600,630,610
Misdrijven WvSr (overig),niet in te delen,50,35,35,35
Verkeersmisdrijven,Groningen,4000,3790,3150,2590
Verkeersmisdrijven,Friesland,4590,4440,3770,3305
Verkeersmisdrijven,Drenthe,2905,2645,2145,1910
Verkeersmisdrijven,Overijssel,7730,8060,6845,6320
Verkeersmisdrijven,Flevoland,3330,2985,2795,2575
Verkeersmisdrijven,Gelderland,14995,14150,12390,11770
Verkeersmisdrijven,Utrecht,9450,9465,7970,8290
Verkeersmisdrijven,Noord-Holland,24825,24930,21420,20110
Verkeersmisdrijven,Zuid-Holland,44135,44530,38635,36970
Verkeersmisdrijven,Zeeland,3480,3470,2980,2815
Verkeersmisdrijven,Noord-Brabant,23280,22465,20195,19305
Verkeersmisdrijven,Limburg,10690,10530,9130,8995
Verkeersmisdrijven,niet in te delen,690,565,345,310
5.Verlaten plaats ongeval,Groningen,2285,2265,1900,1745
5.Verlaten plaats ongeval,Friesland,2655,2595,2250,2160
5.Verlaten plaats ongeval,Drenthe,1945,1690,1455,1325
5.Verlaten plaats ongeval,Overijssel,5180,5435,4980,4805
5.Verlaten plaats ongeval,Flevoland,2220,1905,1780,1775
5.Verlaten plaats ongeval,Gelderland,9520,9090,8425,8225
5.Verlaten plaats ongeval,Utrecht,5680,5920,5230,5600
5.Verlaten plaats ongeval,Noord-Holland,15010,15045,13040,13110
5.Verlaten plaats ongeval,Zuid-Holland,26485,26800,23305,22825
5.Verlaten plaats ongeval,Zeeland,1740,1930,1690,1580
5.Verlaten plaats ongeval,Noord-Brabant,16545,16115,14265,14275
5.Verlaten plaats ongeval,Limburg,7835,7755,6775,6970
5.Verlaten plaats ongeval,niet in te delen,430,355,175,175
5.Rijden onder invloed,Groningen,1535,1385,1105,730
5.Rijden onder invloed,Friesland,1785,1710,1380,1040
5.Rijden onder invloed,Drenthe,870,880,610,505
5.Rijden onder invloed,Overijssel,2280,2355,1625,1360
5.Rijden onder invloed,Flevoland,1030,990,940,720
5.Rijden onder invloed,Gelderland,5050,4605,3515,3150
5.Rijden onder invloed,Utrecht,3325,3110,2405,2355
5.Rijden onder invloed,Noord-Holland,8920,9055,7625,6285
5.Rijden onder invloed,Zuid-Holland,15825,16030,13730,12680
5.Rijden onder invloed,Zeeland,1635,1445,1180,1125
5.Rijden onder invloed,Noord-Brabant,6060,5765,4960,4315
5.Rijden onder invloed,Limburg,2615,2545,1955,1735
5.Rijden onder invloed,niet in te delen,190,165,130,95
5.Rijdentijdens ontzegging,Groningen,100,65,50,45
5.Rijdentijdens ontzegging,Friesland,85,75,45,20
5.Rijdentijdens ontzegging,Drenthe,40,10,10,10
5.Rijdentijdens ontzegging,Overijssel,105,75,35,30
5.Rijdentijdens ontzegging,Flevoland,55,50,30,40
5.Rijdentijdens ontzegging,Gelderland,160,200,105,125
5.Rijdentijdens ontzegging,Utrecht,190,165,100,110
5.Rijdentijdens ontzegging,Noord-Holland,485,415,265,295
5.Rijdentijdens ontzegging,Zuid-Holland,980,865,565,635
5.Rijdentijdens ontzegging,Zeeland,50,40,20,25
5.Rijdentijdens ontzegging,Noord-Brabant,280,250,190,190
5.Rijdentijdens ontzegging,Limburg,115,105,70,70
5.Rijdentijdens ontzegging,niet in te delen,5,10,5,0
5.Rijdentijdens rijverbod,Groningen,0,0,0,5
5.Rijdentijdens rijverbod,Friesland,5,0,5,0
5.Rijdentijdens rijverbod,Drenthe,0,0,0,0
5.Rijdentijdens rijverbod,Overijssel,5,5,5,0
5.Rijdentijdens rijverbod,Flevoland,0,5,0,0
5.Rijdentijdens rijverbod,Gelderland,5,5,5,5
5.Rijdentijdens rijverbod,Utrecht,10,5,5,5
5.Rijdentijdens rijverbod,Noord-Holland,20,30,30,25
5.Rijdentijdens rijverbod,Zuid-Holland,60,70,80,60
5.Rijdentijdens rijverbod,Zeeland,0,5,0,0
5.Rijdentijdens rijverbod,Noord-Brabant,10,10,10,5
5.Rijdentijdens rijverbod,Limburg,5,5,5,5
5.Rijdentijdens rijverbod,niet in te delen,0,0,0,0
5.Voeren vals kenteken,Groningen,20,10,20,20
5.Voeren vals kenteken,Friesland,10,25,20,20
5.Voeren vals kenteken,Drenthe,15,15,15,5
5.Voeren vals kenteken,Overijssel,50,80,50,30
5.Voeren vals kenteken,Flevoland,5,10,5,10
5.Voeren vals kenteken,Gelderland,75,85,70,90
5.Voeren vals kenteken,Utrecht,130,130,95,90
5.Voeren vals kenteken,Noord-Holland,110,115,100,80
5.Voeren vals kenteken,Zuid-Holland,150,125,160,130
5.Voeren vals kenteken,Zeeland,10,20,10,15
5.Voeren vals kenteken,Noord-Brabant,105,115,145,125
5.Voeren vals kenteken,Limburg,40,45,45,40
5.Voeren vals kenteken,niet in te delen,35,25,15,25
5.Joyriding,Groningen,10,15,15,5
5.Joyriding,Friesland,15,10,10,5
5.Joyriding,Drenthe,10,5,5,10
5.Joyriding,Overijssel,25,20,20,15
5.Joyriding,Flevoland,10,10,5,5
5.Joyriding,Gelderland,50,40,35,25
5.Joyriding,Utrecht,20,30,15,25
5.Joyriding,Noord-Holland,50,65,50,65
5.Joyriding,Zuid-Holland,75,55,85,75
5.Joyriding,Zeeland,10,5,5,10
5.Joyriding,Noord-Brabant,60,50,50,35
5.Joyriding,Limburg,15,15,15,15
5.Joyriding,niet in te delen,10,5,5,5
5.Weigeren blaastest/bloedonderzoek,Groningen,15,15,10,5
5.Weigeren blaastest/bloedonderzoek,Friesland,5,5,5,5
5.Weigeren blaastest/bloedonderzoek,Drenthe,5,5,10,5
5.Weigeren blaastest/bloedonderzoek,Overijssel,25,25,20,10
5.Weigeren blaastest/bloedonderzoek,Flevoland,0,0,0,0
5.Weigeren blaastest/bloedonderzoek,Gelderland,30,30,30,25
5.Weigeren blaastest/bloedonderzoek,Utrecht,20,35,20,15
5.Weigeren blaastest/bloedonderzoek,Noord-Holland,40,65,50,55
5.Weigeren blaastest/bloedonderzoek,Zuid-Holland,170,180,130,145
5.Weigeren blaastest/bloedonderzoek,Zeeland,10,5,5,5
5.Weigeren blaastest/bloedonderzoek,Noord-Brabant,45,30,45,40
5.Weigeren blaastest/bloedonderzoek,Limburg,15,15,30,15
5.Weigeren blaastest/bloedonderzoek,niet in te delen,0,0,0,5
5.Verkeersmisdrijf (overig),Groningen,40,35,50,35
5.Verkeersmisdrijf (overig),Friesland,25,15,60,55
5.Verkeersmisdrijf (overig),Drenthe,25,35,40,45
5.Verkeersmisdrijf (overig),Overijssel,60,70,110,65
5.Verkeersmisdrijf (overig),Flevoland,5,15,30,25
5.Verkeersmisdrijf (overig),Gelderland,110,95,205,130
5.Verkeersmisdrijf (overig),Utrecht,75,70,100,95
5.Verkeersmisdrijf (overig),Noord-Holland,190,140,260,200
5.Verkeersmisdrijf (overig),Zuid-Holland,390,405,575,420
5.Verkeersmisdrijf (overig),Zeeland,30,20,70,50
5.Verkeersmisdrijf (overig),Noord-Brabant,170,125,525,320
5.Verkeersmisdrijf (overig),Limburg,55,45,235,140
5.Verkeersmisdrijf (overig),niet in te delen,20,10,10,5
Drugsmisdrijven,Groningen,660,555,550,585
Drugsmisdrijven,Friesland,550,550,380,470
Drugsmisdrijven,Drenthe,275,245,230,275
Drugsmisdrijven,Overijssel,840,760,725,700
Drugsmisdrijven,Flevoland,570,580,635,600
Drugsmisdrijven,Gelderland,1465,1350,1180,1130
Drugsmisdrijven,Utrecht,875,750,780,910
Drugsmisdrijven,Noord-Holland,3485,3615,3690,3425
Drugsmisdrijven,Zuid-Holland,3055,3505,3330,3810
Drugsmisdrijven,Zeeland,450,385,340,325
Drugsmisdrijven,Noord-Brabant,3080,2770,2850,2665
Drugsmisdrijven,Limburg,1980,1605,1950,1545
Drugsmisdrijven,niet in te delen,65,40,40,15
6.Harddrugs,Groningen,235,175,175,210
6.Harddrugs,Friesland,260,245,185,215
6.Harddrugs,Drenthe,85,90,75,90
6.Harddrugs,Overijssel,350,265,245,265
6.Harddrugs,Flevoland,375,315,395,325
6.Harddrugs,Gelderland,720,705,635,545
6.Harddrugs,Utrecht,420,310,345,370
6.Harddrugs,Noord-Holland,2500,2350,2455,2260
6.Harddrugs,Zuid-Holland,1405,1605,1515,1530
6.Harddrugs,Zeeland,125,95,105,105
6.Harddrugs,Noord-Brabant,970,830,1030,960
6.Harddrugs,Limburg,720,620,670,560
6.Harddrugs,niet in te delen,30,20,15,5
6.Softdrugs,Groningen,420,380,375,375
6.Softdrugs,Friesland,290,300,195,260
6.Softdrugs,Drenthe,190,155,160,185
6.Softdrugs,Overijssel,495,495,480,435
6.Softdrugs,Flevoland,195,265,240,275
6.Softdrugs,Gelderland,740,645,545,590
6.Softdrugs,Utrecht,455,440,440,540
6.Softdrugs,Noord-Holland,990,1265,1235,1165
6.Softdrugs,Zuid-Holland,1650,1900,1815,2280
6.Softdrugs,Zeeland,325,290,235,220
6.Softdrugs,Noord-Brabant,2110,1940,1825,1705
6.Softdrugs,Limburg,1260,985,1280,985
6.Softdrugs,niet in te delen,35,20,25,10
(Vuur)wapenmisdrijven,Groningen,170,205,175,150
(Vuur)wapenmisdrijven,Friesland,135,180,130,140
(Vuur)wapenmisdrijven,Drenthe,190,185,170,115
(Vuur)wapenmisdrijven,Overijssel,355,295,320,330
(Vuur)wapenmisdrijven,Flevoland,110,130,125,145
(Vuur)wapenmisdrijven,Gelderland,535,580,530,540
(Vuur)wapenmisdrijven,Utrecht,345,435,320,340
(Vuur)wapenmisdrijven,Noord-Holland,1480,1860,1855,1545
(Vuur)wapenmisdrijven,Zuid-Holland,1525,1850,1770,1735
(Vuur)wapenmisdrijven,Zeeland,115,150,160,100
(Vuur)wapenmisdrijven,Noord-Brabant,925,860,855,845
(Vuur)wapenmisdrijven,Limburg,565,585,540,490
(Vuur)wapenmisdrijven,niet in te delen,25,25,30,5
Misdrijven overige wetten,Groningen,275,150,180,170
Misdrijven overige wetten,Friesland,235,165,150,150
Misdrijven overige wetten,Drenthe,140,105,105,95
Misdrijven overige wetten,Overijssel,460,360,320,230
Misdrijven overige wetten,Flevoland,90,100,85,60
Misdrijven overige wetten,Gelderland,680,560,570,495
Misdrijven overige wetten,Utrecht,235,220,200,175
Misdrijven overige wetten,Noord-Holland,700,530,670,595
Misdrijven overige wetten,Zuid-Holland,700,620,1025,1105
Misdrijven overige wetten,Zeeland,115,100,175,115
Misdrijven overige wetten,Noord-Brabant,615,450,615,505
Misdrijven overige wetten,Limburg,705,250,305,330
Misdrijven overige wetten,niet in te delen,55,25,20,25
Militair misdrijf,Groningen,0,0,0,0
Militair misdrijf,Friesland,0,0,0,0
Militair misdrijf,Drenthe,5,0,0,0
Militair misdrijf,Overijssel,5,0,0,0
Militair misdrijf,Flevoland,0,0,0,0
Militair misdrijf,Gelderland,30,35,25,30
Militair misdrijf,Utrecht,5,0,5,5
Militair misdrijf,Noord-Holland,10,5,10,5
Militair misdrijf,Zuid-Holland,0,0,0,0
Militair misdrijf,Zeeland,0,0,0,0
Militair misdrijf,Noord-Brabant,15,15,15,0
Militair misdrijf,Limburg,10,15,0,5
Militair misdrijf,niet in te delen,0,0,5,5
Misdrijf (overig),Groningen,275,150,180,170
Misdrijf (overig),Friesland,235,165,150,150
Misdrijf (overig),Drenthe,135,105,105,95
Misdrijf (overig),Overijssel,455,360,320,230
Misdrijf (overig),Flevoland,90,100,85,60
Misdrijf (overig),Gelderland,645,525,545,470
Misdrijf (overig),Utrecht,230,220,195,170
Misdrijf (overig),Noord-Holland,690,525,660,585
Misdrijf (overig),Zuid-Holland,700,620,1025,1105
Misdrijf (overig),Zeeland,115,100,175,115
Misdrijf (overig),Noord-Brabant,605,435,605,505
Misdrijf (overig),Limburg,695,235,300,325
Misdrijf (overig),niet in te delen,50,25,15,20
